"ContributorID","name","chapter","ChapterRole","article","ArticleRole"
"https://data.globalchange.gov/person/1000","Alexander, Michael","https://data.globalchange.gov/report/nca3/chapter/oceans-marine-resources","Lead Author","https://data.globalchange.gov/article/10.1029/2010GL043321","Author"
"https://data.globalchange.gov/person/1003","Izaurralde, R. Cesar","https://data.globalchange.gov/report/nca3/chapter/agriculture","Lead Author","https://data.globalchange.gov/article/10.1023/A:1022103315424","Author"
"https://data.globalchange.gov/person/1003","Izaurralde, R. Cesar","https://data.globalchange.gov/report/nca3/chapter/agriculture","Lead Author","https://data.globalchange.gov/article/10.2134/agronj2010.0303","Author"
"https://data.globalchange.gov/person/1003","Izaurralde, R. Cesar","https://data.globalchange.gov/report/nca3/chapter/agriculture","Lead Author","https://data.globalchange.gov/article/10.2134/agronj2010.0304","Author"
"https://data.globalchange.gov/person/1003","Izaurralde, R. Cesar","https://data.globalchange.gov/report/nca3/chapter/agriculture","Lead Author","https://data.globalchange.gov/report/ccsp-sap-4_3-2008","Contributing Author"
"https://data.globalchange.gov/person/1003","Izaurralde, R. Cesar","https://data.globalchange.gov/report/nca3/chapter/agriculture","Lead Author","https://data.globalchange.gov/report/usda-techbul-1935","Author"
"https://data.globalchange.gov/person/1005","Mader, Terry","https://data.globalchange.gov/report/nca3/chapter/agriculture","Lead Author","https://data.globalchange.gov/article/10.1007/s00484-007-0093-8","Author"
"https://data.globalchange.gov/person/1005","Mader, Terry","https://data.globalchange.gov/report/nca3/chapter/agriculture","Lead Author","https://data.globalchange.gov/article/environmental-stress-in-confined-beef-cattle","Author"
"https://data.globalchange.gov/person/1005","Mader, Terry","https://data.globalchange.gov/report/nca3/chapter/agriculture","Lead Author","https://data.globalchange.gov/report/ccsp-sap-4_3-2008","Contributing Author"
"https://data.globalchange.gov/person/1005","Mader, Terry","https://data.globalchange.gov/report/nca3/chapter/agriculture","Lead Author","https://data.globalchange.gov/report/usda-techbul-1935","Author"
"https://data.globalchange.gov/person/1006","Georgakakos, Aris","https://data.globalchange.gov/report/nca3/chapter/water-resources","Convening Lead Author","https://data.globalchange.gov/article/10.1016/j.jhydrol.2011.04.032","Author"
"https://data.globalchange.gov/person/1006","Georgakakos, Aris","https://data.globalchange.gov/report/nca3/chapter/water-resources","Convening Lead Author","https://data.globalchange.gov/article/10.1016/j.jhydrol.2011.04.038","Author"
"https://data.globalchange.gov/person/1006","Georgakakos, Aris","https://data.globalchange.gov/report/nca3/chapter/water-resources","Convening Lead Author","https://data.globalchange.gov/report/cec-500-2006-109","Author"
"https://data.globalchange.gov/person/1006","Georgakakos, Aris","https://data.globalchange.gov/report/nca3/chapter/water-resources","Convening Lead Author","https://data.globalchange.gov/report/gwri-climvar-2010","Author"
"https://data.globalchange.gov/person/1007","Fleming, Paul","https://data.globalchange.gov/report/nca3/chapter/adaptation","Lead Author","https://data.globalchange.gov/article/10.1007/s11027-012-9423-1","Author"
"https://data.globalchange.gov/person/1008","Wuebbles, Donald","https://data.globalchange.gov/report/nca3/chapter/appendix-climate-science-supplement","Convening Lead Author","https://data.globalchange.gov/article/10.1016/j.jglr.2010.03.012","Author"
"https://data.globalchange.gov/person/1008","Wuebbles, Donald","https://data.globalchange.gov/report/nca3/chapter/appendix-climate-science-supplement","Convening Lead Author","https://data.globalchange.gov/article/10.1175/2009JCLI2577.1","Author"
"https://data.globalchange.gov/person/1008","Wuebbles, Donald","https://data.globalchange.gov/report/nca3/chapter/appendix-climate-science-supplement","Convening Lead Author","https://data.globalchange.gov/article/10.1175/BAMS-D-11-00262.1","Author"
"https://data.globalchange.gov/person/1008","Wuebbles, Donald","https://data.globalchange.gov/report/nca3/chapter/appendix-climate-science-supplement","Convening Lead Author","https://data.globalchange.gov/article/10.1175/BAMS-D-12-00066.1","Author"
"https://data.globalchange.gov/person/1008","Wuebbles, Donald","https://data.globalchange.gov/report/nca3/chapter/appendix-climate-science-supplement","Convening Lead Author","https://data.globalchange.gov/article/10.1175/BAMS-D-12-00162.1","Author"
"https://data.globalchange.gov/person/1008","Wuebbles, Donald","https://data.globalchange.gov/report/nca3/chapter/appendix-climate-science-supplement","Convening Lead Author","https://data.globalchange.gov/report/noaa-techreport-nesdis-142-3","Author"
"https://data.globalchange.gov/person/1008","Wuebbles, Donald","https://data.globalchange.gov/report/nca3/chapter/appendix-climate-science-supplement","Convening Lead Author","https://data.globalchange.gov/report/noaa-techreport-nesdis-142-9","Author"
"https://data.globalchange.gov/person/1008","Wuebbles, Donald","https://data.globalchange.gov/report/nca3/chapter/appendix-faqs","Convening Lead Author","https://data.globalchange.gov/report/noaa-techreport-nesdis-142-9","Author"
"https://data.globalchange.gov/person/1008","Wuebbles, Donald","https://data.globalchange.gov/report/nca3/chapter/our-changing-climate","Convening Lead Author","https://data.globalchange.gov/article/10.1175/BAMS-D-11-00262.1","Author"
"https://data.globalchange.gov/person/1008","Wuebbles, Donald","https://data.globalchange.gov/report/nca3/chapter/our-changing-climate","Convening Lead Author","https://data.globalchange.gov/article/10.1175/BAMS-D-12-00066.1","Author"
"https://data.globalchange.gov/person/1008","Wuebbles, Donald","https://data.globalchange.gov/report/nca3/chapter/our-changing-climate","Convening Lead Author","https://data.globalchange.gov/article/10.1175/BAMS-D-12-00162.1","Author"
"https://data.globalchange.gov/person/1008","Wuebbles, Donald","https://data.globalchange.gov/report/nca3/chapter/our-changing-climate","Convening Lead Author","https://data.globalchange.gov/article/10.1175/BAMS-D-12-00172.1","Author"
"https://data.globalchange.gov/person/1008","Wuebbles, Donald","https://data.globalchange.gov/report/nca3/chapter/our-changing-climate","Convening Lead Author","https://data.globalchange.gov/report/noaa-techreport-nesdis-142-9","Author"
"https://data.globalchange.gov/person/1009","Walsh, John","https://data.globalchange.gov/report/nca3/chapter/appendix-climate-science-supplement","Convening Lead Author","https://data.globalchange.gov/article/10.1175/2008JCLI2163.1","Author"
