"finding","journal"
"http://data.globalchange.gov/report/nca3/chapter/biogeochemical-cycles/finding/biogeochem-cycle-climate-change","http://data.globalchange.gov/journal/nature"
"http://data.globalchange.gov/report/nca3/chapter/ecosystems/finding/critical-biological-events-shift","http://data.globalchange.gov/journal/nature"
"http://data.globalchange.gov/report/nca3/chapter/our-changing-climate/finding/co2-into-ocean-increases-acidity","http://data.globalchange.gov/journal/nature"
"http://data.globalchange.gov/report/nca3/chapter/agriculture/finding/extreme-weather-impact-productivity","http://data.globalchange.gov/journal/nature"
"http://data.globalchange.gov/report/nca3/chapter/mitigation/finding/limit-carbon-dioxide-emission-need","http://data.globalchange.gov/journal/nature"
"http://data.globalchange.gov/report/nca3/chapter/alaska/finding/glacier-shrinkage-implications","http://data.globalchange.gov/journal/nature"
"http://data.globalchange.gov/report/nca3/chapter/coastal-zone/finding/coastal-ecosystems-vulnerable","http://data.globalchange.gov/journal/nature"
"http://data.globalchange.gov/report/nca3/chapter/oceans-marine-resources/finding/increased-ocean-temp-impacts","http://data.globalchange.gov/journal/nature"
"http://data.globalchange.gov/report/nca3/chapter/alaska/finding/rising-permafrost-temperature-effects","http://data.globalchange.gov/journal/nature"
"http://data.globalchange.gov/report/nca3/chapter/our-changing-climate/finding/global-climate-is-changing","http://data.globalchange.gov/journal/nature"
"http://data.globalchange.gov/report/nca3/chapter/biogeochemical-cycles/finding/partial-offset-warming-effect-of-carbon-storage","http://data.globalchange.gov/journal/nature"
"http://data.globalchange.gov/report/nca3/chapter/our-changing-climate/finding/extreme-weather-increase","http://data.globalchange.gov/journal/nature"
"http://data.globalchange.gov/report/nca3/chapter/great-plains/finding/increased-landscape-fragmentation","http://data.globalchange.gov/journal/nature"
"http://data.globalchange.gov/report/nca3/chapter/water-resources/finding/groundwater-availability-changes","http://data.globalchange.gov/journal/nature-climate-change"
"http://data.globalchange.gov/report/nca3/chapter/agriculture/finding/agriculture-disrupted-by-climate","http://data.globalchange.gov/journal/nature-climate-change"
"http://data.globalchange.gov/report/nca3/chapter/human-health/finding/opportunities-to-improve-human-health","http://data.globalchange.gov/journal/nature-climate-change"
"http://data.globalchange.gov/report/nca3/chapter/alaska/finding/summer-sea-ice-reduction-effects","http://data.globalchange.gov/journal/nature-climate-change"
"http://data.globalchange.gov/report/nca3/chapter/alaska/finding/ocean-temp-chem-affect-fisheries","http://data.globalchange.gov/journal/nature-climate-change"
"http://data.globalchange.gov/report/nca3/chapter/coastal-zone/finding/coastal-lifelines-vulnerable","http://data.globalchange.gov/journal/nature-climate-change"
"http://data.globalchange.gov/report/nca3/chapter/northeast/finding/heat-and-flooding-growing-challenge","http://data.globalchange.gov/journal/nature-climate-change"
"http://data.globalchange.gov/report/nca3/chapter/our-changing-climate/finding/extreme-precipitation-increase","http://data.globalchange.gov/journal/nature-climate-change"
"http://data.globalchange.gov/report/nca3/chapter/our-changing-climate/finding/extreme-weather-increase","http://data.globalchange.gov/journal/nature-climate-change"
"http://data.globalchange.gov/report/nca3/chapter/decision-support/finding/steps-to-improve-decision-processes","http://data.globalchange.gov/journal/nature-climate-change"
"http://data.globalchange.gov/report/nca3/chapter/human-health/finding/climate-change-threatens-health","http://data.globalchange.gov/journal/nature-climate-change"
"http://data.globalchange.gov/report/nca3/chapter/forests/finding/reduced-forest-co2-uptake","http://data.globalchange.gov/journal/nature-climate-change"
"http://data.globalchange.gov/report/nca3/chapter/forests/finding/increased-forest-vulnerability","http://data.globalchange.gov/journal/nature-climate-change"
"http://data.globalchange.gov/report/nca3/chapter/forests/finding/bioenergy-benefits-consequences","http://data.globalchange.gov/journal/nature-climate-change"
"http://data.globalchange.gov/report/nca3/chapter/hawaii/finding/effects-of-human-island-migration","http://data.globalchange.gov/journal/science"
"http://data.globalchange.gov/report/nca3/chapter/oceans-marine-resources/finding/marine-habitat-loss-and-expansion","http://data.globalchange.gov/journal/science"
"http://data.globalchange.gov/report/nca3/chapter/southwest/finding/climate-change-increases-wildfires","http://data.globalchange.gov/journal/science"
"http://data.globalchange.gov/report/nca3/chapter/ecosystems/finding/ecosystem-buffers-overwhelmed","http://data.globalchange.gov/journal/science"
"http://data.globalchange.gov/report/nca3/chapter/land-use-land-cover-change/finding/land-use-choices-affect-resiliency","http://data.globalchange.gov/journal/science"
"http://data.globalchange.gov/report/nca3/chapter/human-health/finding/climate-change-threatens-health","http://data.globalchange.gov/journal/science"
"http://data.globalchange.gov/report/nca3/chapter/rural/finding/climate-change-shifts-rural-economy","http://data.globalchange.gov/journal/science"
"http://data.globalchange.gov/report/nca3/chapter/water-resources/finding/precipitation-runoff-variances","http://data.globalchange.gov/journal/science"
"http://data.globalchange.gov/report/nca3/chapter/southwest/finding/decreasing-water-supply","http://data.globalchange.gov/journal/science"
"http://data.globalchange.gov/report/nca3/chapter/water-resources/finding/increasing-resilience-and-enhancing-adaptive-capacity","http://data.globalchange.gov/journal/science"
"http://data.globalchange.gov/report/nca3/chapter/water-resources/finding/water-resource-planning-challenges","http://data.globalchange.gov/journal/science"
"http://data.globalchange.gov/report/nca3/chapter/ecosystems/finding/fall-of-water-benefits-from-ecosystem","http://data.globalchange.gov/journal/science"
"http://data.globalchange.gov/report/nca3/chapter/oceans-marine-resources/finding/ocean-acidity-increase-alters-marine","http://data.globalchange.gov/journal/science"
"http://data.globalchange.gov/report/nca3/chapter/forests/finding/bioenergy-benefits-consequences","http://data.globalchange.gov/journal/science"
"http://data.globalchange.gov/report/nca3/chapter/southwest/finding/coastal-flooding-erosion-increasing","http://data.globalchange.gov/journal/science"
"http://data.globalchange.gov/report/nca3/chapter/alaska/finding/summer-sea-ice-reduction-effects","http://data.globalchange.gov/journal/science"
"http://data.globalchange.gov/report/nca3/chapter/alaska/finding/ocean-temp-chem-affect-fisheries","http://data.globalchange.gov/journal/science"
"http://data.globalchange.gov/report/nca3/chapter/biogeochemical-cycles/finding/human-increased-element-levels","http://data.globalchange.gov/journal/science"
"http://data.globalchange.gov/report/nca3/chapter/forests/finding/increased-forest-vulnerability","http://data.globalchange.gov/journal/science"
"http://data.globalchange.gov/report/nca3/chapter/coastal-zone/finding/coastal-ecosystems-vulnerable","http://data.globalchange.gov/journal/science"
"http://data.globalchange.gov/report/nca3/chapter/ecosystems/finding/animal-and-plant-mix-changing","http://data.globalchange.gov/journal/science"
"http://data.globalchange.gov/report/nca3/chapter/great-plains/finding/increased-landscape-fragmentation","http://data.globalchange.gov/journal/science"
"http://data.globalchange.gov/report/nca3/chapter/biogeochemical-cycles/finding/biogeochem-cycle-climate-change","http://data.globalchange.gov/journal/science"
"http://data.globalchange.gov/report/nca3/chapter/our-changing-climate/finding/co2-into-ocean-increases-acidity","http://data.globalchange.gov/journal/science"
"http://data.globalchange.gov/report/nca3/chapter/alaska/finding/glacier-shrinkage-implications","http://data.globalchange.gov/journal/science"
"http://data.globalchange.gov/report/nca3/chapter/forests/finding/reduced-forest-co2-uptake","http://data.globalchange.gov/journal/science"
"http://data.globalchange.gov/report/nca3/chapter/rural/finding/limited-rural-capacity-for-climate-adaptation","http://data.globalchange.gov/journal/science"
"http://data.globalchange.gov/report/nca3/chapter/energy-supply-and-use/finding/weather-affects-energy-production","http://data.globalchange.gov/journal/science"
"http://data.globalchange.gov/report/nca3/chapter/land-use-land-cover-change/finding/land-use-climate-processes","http://data.globalchange.gov/journal/science"
"http://data.globalchange.gov/report/nca3/chapter/southwest/finding/climate-change-reduces-crop-yields","http://data.globalchange.gov/journal/science"
"http://data.globalchange.gov/report/nca3/chapter/alaska/finding/glacier-shrinkage-implications","http://data.globalchange.gov/journal/nature-geoscience"
"http://data.globalchange.gov/report/nca3/chapter/our-changing-climate/finding/co2-into-ocean-increases-acidity","http://data.globalchange.gov/journal/nature-geoscience"
"http://data.globalchange.gov/report/nca3/chapter/biogeochemical-cycles/finding/biogeochem-cycle-climate-change","http://data.globalchange.gov/journal/nature-geoscience"
"http://data.globalchange.gov/report/nca3/chapter/alaska/finding/rising-permafrost-temperature-effects","http://data.globalchange.gov/journal/nature-geoscience"
"http://data.globalchange.gov/report/nca3/chapter/southwest/finding/coastal-flooding-erosion-increasing","http://data.globalchange.gov/journal/nature-geoscience"
"http://data.globalchange.gov/report/nca3/chapter/our-changing-climate/finding/hurricane-storm-intensity-increases","http://data.globalchange.gov/journal/nature-geoscience"
"http://data.globalchange.gov/report/nca3/chapter/tribal-indigenous-native-lands-resources/finding/increased-health-hazards-for-natives","http://data.globalchange.gov/journal/nature-geoscience"
