"platform_gcis","platform_dbpedia","launchDate_gcis","launchDate_dbpedia","cospar_dbpedia"
"http://data.globalchange.gov/platform/landsat-3","http://dbpedia.org/resource/Landsat_3",1978-03-05 00:00:00,1978-03-05,1978
"http://data.globalchange.gov/platform/landsat-4","http://dbpedia.org/resource/Landsat_4",1982-07-16 00:00:00,1982-07-16,1982
"http://data.globalchange.gov/platform/landsat-5","http://dbpedia.org/resource/Landsat_5",1984-03-01 00:00:00,1984-03-01,1984
"http://data.globalchange.gov/platform/landsat-1","http://dbpedia.org/resource/Landsat_1",1972-06-23 00:00:00,1972-07-23,1972
"http://data.globalchange.gov/platform/jason-1","http://dbpedia.org/resource/Jason-1",2001-12-09 00:00:00,2001-12-07,2001
"http://data.globalchange.gov/platform/earth-radiation-budget-satellite","http://dbpedia.org/resource/Earth_Radiation_Budget_Satellite",1984-10-05 00:00:00,1984-10-05,1984
"http://data.globalchange.gov/platform/indian-remote-sensing-satellite-1c","http://dbpedia.org/resource/IRS-1C",1995-12-28 00:00:00,1995-12-28,1995
"http://data.globalchange.gov/platform/landsat-2","http://dbpedia.org/resource/Landsat_2",1975-01-22 00:00:00,1975-01-22,
"http://data.globalchange.gov/platform/indian-remote-sensing-satellite-1b","http://dbpedia.org/resource/IRS-1B",1991-08-29 00:00:00,1991-08-29,
"http://data.globalchange.gov/platform/indian-remote-sensing-satellite-p2","http://dbpedia.org/resource/IRS-P2",1994-10-15 00:00:00,1994-10-15,
"http://data.globalchange.gov/platform/indian-remote-sensing-satellite-p3","http://dbpedia.org/resource/IRS-P3",1996-03-21 00:00:00,1996-03-21,
"http://data.globalchange.gov/platform/oceansat-1","http://dbpedia.org/resource/Oceansat-1",1999-05-26 00:00:00,1999-05-26,
"http://data.globalchange.gov/platform/greenhouse-gases-observing-satellite","http://dbpedia.org/resource/Greenhouse_Gases_Observing_Satellite",2009-01-23 00:00:00,"--01-23",2009
"http://data.globalchange.gov/platform/megha-tropiques","http://dbpedia.org/resource/Megha-Tropiques",2011-10-12 00:00:00,2011-10-12,2011
"http://data.globalchange.gov/platform/mapping-satellites","http://dbpedia.org/resource/Ziyuan_III-01",2012-01-09 00:00:00,"--01-09",2012
"http://data.globalchange.gov/platform/advanced-land-observing-satellite","http://dbpedia.org/resource/Advanced_Land_Observation_Satellite",2006-01-24 00:00:00,"--01-24",2006
"http://data.globalchange.gov/platform/resource-satellite-2","http://dbpedia.org/resource/Resourcesat-2",2011-04-20 00:00:00,2011-04-20,2011
