"ContributorID","GivenName","LastName","orcid","Frequency"
"http://data.globalchange.gov/person/1025","Kenneth","Kunkel","0000-0001-6667-7047",26
"http://data.globalchange.gov/person/1526","Dennis P.","Lettenmaier","0000-0003-3317-1327",26
"http://data.globalchange.gov/person/1016","Michael","Dettinger","0000-0002-7509-7332",21
"http://data.globalchange.gov/person/1024","Katharine","Hayhoe","0000-0003-3625-1402",20
"http://data.globalchange.gov/person/885","F. Stuart","Chapin III","0000-0002-2558-9910",19
"http://data.globalchange.gov/person/957","A. David","McGuire","0000-0003-4646-0750",19
"http://data.globalchange.gov/person/896","Susanne","Moser","0000-0001-6375-895X",17
"http://data.globalchange.gov/person/3438","Kristie L.","Ebi","0000-0003-4746-8236",16
"http://data.globalchange.gov/person/923","Lewis","Ziska","0000-0003-2980-3985",14
"http://data.globalchange.gov/person/847","Philip W.","Mote","0000-0002-3580-3730",13
"http://data.globalchange.gov/person/3239","Patrick L.","Kinney","0000-0003-2801-1003",13
"http://data.globalchange.gov/person/956","Scott","Doney","0000-0002-3683-2437",12
"http://data.globalchange.gov/person/849","Steven","Running","0000-0001-6906-3841",12
"http://data.globalchange.gov/person/1009","John","Walsh","0000-0003-2424-5208",12
"http://data.globalchange.gov/person/1026","Michael","Wehner","0000-0001-5991-0082",12
"http://data.globalchange.gov/person/2711","Kevin E.","Trenberth","0000-0002-1445-1000",11
"http://data.globalchange.gov/person/899","Allison","Thomson","0000-0001-5326-1755",11
"http://data.globalchange.gov/person/972","Joshua","Lawler","0000-0002-8306-3175",10
"http://data.globalchange.gov/person/1101","Laura","Stevens","0000-0002-8842-702X",9
"http://data.globalchange.gov/person/1027","Peter","Thorne","0000-0003-0485-9798",9
"http://data.globalchange.gov/person/908","David","Breshears","0000-0001-6601-0058",9
"http://data.globalchange.gov/person/3313","Detlef","van Vuuren","0000-0003-0398-2831",8
"http://data.globalchange.gov/person/854","Beverly","Law","0000-0002-1605-1203",8
"http://data.globalchange.gov/person/3485","Hugo","Hidalgo","0000-0003-4638-0742",8
"http://data.globalchange.gov/person/954","Gene","Takle","0000-0003-2833-876X",8
"http://data.globalchange.gov/person/3243","Edwin","Maurer","0000-0001-7134-487X",7
"http://data.globalchange.gov/person/977","Mark","Serreze","0000-0002-3699-302X",7
"http://data.globalchange.gov/person/5027","Gabriel A.","Vecchi","0000-0002-5085-224X",7
"http://data.globalchange.gov/person/2320","Jeffrey","Dukes","0000-0001-9482-7743",7
"http://data.globalchange.gov/person/848","Radley","Horton","0000-0002-5574-9962",7
"http://data.globalchange.gov/person/821","Sara C.","Pryor","0000-0003-4847-3440",7
"http://data.globalchange.gov/person/2837","William Neil","Adger","0000-0003-4244-2854",7
"http://data.globalchange.gov/person/825","Louis","Iverson","0000-0001-9501-471X",7
"http://data.globalchange.gov/person/4580","Paul","Wilkinson","0000-0001-7456-259X",7
"http://data.globalchange.gov/person/3003","Stefan","Rahmstorf","0000-0001-6786-7723",7
"http://data.globalchange.gov/person/1849","Kenneth G.","Hubbard","0000-0002-6766-0922",7
"http://data.globalchange.gov/person/5933","Thomas W.","Swetnam","0000-0001-7268-2184",7
"http://data.globalchange.gov/person/3223","Claudia","Tebaldi","0000-0001-9233-8903",7
"http://data.globalchange.gov/person/3450","Steven J.","Smith","0000-0003-3248-5607",6
"http://data.globalchange.gov/person/927","Matthias","Ruth","0000-0003-1266-582X",6
"http://data.globalchange.gov/person/3428","Julienne C.","Stroeve","0000-0002-0476-381X",6
"http://data.globalchange.gov/person/5818","Reto","Knutti","0000-0001-8303-6700",6
"http://data.globalchange.gov/person/2788","Noah","Diffenbaugh","0000-0002-8856-4964",6
"http://data.globalchange.gov/person/866","Kristen","Averyt","0000-0002-3602-9118",6
"http://data.globalchange.gov/person/1572","Rachel","Morello-Frosch","0000-0003-1153-7287",6
"http://data.globalchange.gov/person/4972","Malcolm K.","Hughes","0000-0003-1062-3167",6
"http://data.globalchange.gov/person/2261","Drew T.","Shindell","0000-0001-9925-8500",6
"http://data.globalchange.gov/person/1098","Katharine","Jacobs","0000-0002-4427-9045",6
"http://data.globalchange.gov/person/955","Jerry","Hatfield","0000-0002-2981-8856",6
"http://data.globalchange.gov/person/1053","Anthony C.","Janetos","0000-0003-0832-2664",6
"http://data.globalchange.gov/person/2208","Mark D.","Schwartz","0000-0002-6739-0416",6
"http://data.globalchange.gov/person/2430","Derek S.","Arndt","0000-0001-7698-6740",6
"http://data.globalchange.gov/person/844","Kim","Knowlton","0000-0002-8075-7817",6
"http://data.globalchange.gov/person/3615","John A.","Church","0000-0002-7037-8194",6
"http://data.globalchange.gov/person/3714","David M.","Mills","0000-0002-2295-0344",6
"http://data.globalchange.gov/person/6189","Ove","Hoegh-Guldberg","0000-0001-7510-6713",6
"http://data.globalchange.gov/person/951","Virginia H.","Dale","0000-0002-4123-7202",6
"http://data.globalchange.gov/person/8308","Karl E.","Taylor","0000-0002-6491-2135",6
"http://data.globalchange.gov/person/2274","William J.","Gutowski Jr.","0000-0002-9141-297X",5
"http://data.globalchange.gov/person/852","Alan","Townsend","0000-0002-5120-5124",5
"http://data.globalchange.gov/person/831","Kathy","Hibbard","0000-0003-2278-4064",5
"http://data.globalchange.gov/person/833","Richard","Moss","0000-0001-5005-0063",5
"http://data.globalchange.gov/person/3344","Nathalie","Voisin","0000-0002-6848-449X",5
"http://data.globalchange.gov/person/2985","Xiaolan L.","Wang","0000-0002-5656-5903",5
"http://data.globalchange.gov/person/917","Jeremy","Hess","0000-0002-0440-2459",5
"http://data.globalchange.gov/person/845","Linda","Joyce","0000-0002-3384-3341",5
"http://data.globalchange.gov/person/1035","Kirstin","Dow","0000-0002-4547-5566",5
"http://data.globalchange.gov/person/2061","Stéphane","Hallegatte","0000-0002-1781-4268",5
"http://data.globalchange.gov/person/2314","Bethany","Bradley","0000-0003-4912-4971",5
"http://data.globalchange.gov/person/1519","Eric A.","Davidson","0000-0002-8525-8697",5
"http://data.globalchange.gov/person/1214","Margaret","Redsteer","0000-0003-2851-2502",5
"http://data.globalchange.gov/person/3671","Christine A.","Rogers","0000-0003-0887-9606",5
"http://data.globalchange.gov/person/3700","Kenneth","Strzepek","0000-0002-2677-2581",5
"http://data.globalchange.gov/person/4589","Andy","Haines","0000-0002-8053-4605",5
"http://data.globalchange.gov/person/5603","Chris","Huntingford","0000-0002-5941-7770",5
"http://data.globalchange.gov/person/2746","John","Wahr","0000-0002-1330-1537",5
"http://data.globalchange.gov/person/5870","Daniel","Pauly","0000-0003-3756-4793",5
"http://data.globalchange.gov/person/968","James E.","Neumann","0000-0001-7553-3037",5
"http://data.globalchange.gov/person/4040","Joel","Schwartz","0000-0001-6168-378X",5
"http://data.globalchange.gov/person/823","G. Philip","Robertson","0000-0001-9771-9895",5
"http://data.globalchange.gov/person/5296","Michiel R.","van den Broeke","0000-0003-4662-7565",5
"http://data.globalchange.gov/person/8040","Peter M.","Groffman","0000-0001-8371-6255",5
"http://data.globalchange.gov/person/4252","Werner","Kurz","0000-0003-4576-7849",5
"http://data.globalchange.gov/person/1043","Katherine","Calvin","0000-0003-2191-4189",5
"http://data.globalchange.gov/person/4885","Peter J.","Gleckler","0000-0003-2816-6224",5
"http://data.globalchange.gov/person/2071","Russell E.","Brainard","0000-0002-0086-8921",5
"http://data.globalchange.gov/person/2764","Judith","Perlwitz","0000-0003-4061-2442",5
"http://data.globalchange.gov/person/829","James","Galloway","0000-0001-7676-8698",4
"http://data.globalchange.gov/person/4060","Adrian","Barnett","0000-0001-6339-0374",4
"http://data.globalchange.gov/person/9889","Stephanie","Moore","0000-0003-3319-5070",4
"http://data.globalchange.gov/person/1006","Aris","Georgakakos","0000-0001-6606-5999",4
"http://data.globalchange.gov/person/4413","Jacqueline","Grebmeier","0000-0001-7624-3568",4
"http://data.globalchange.gov/person/5191","Markus","Reichstein","0000-0001-5736-1112",4
"http://data.globalchange.gov/person/2005","Richard N.","Palmer","0000-0002-7338-0468",4
"http://data.globalchange.gov/person/9938","William C.","Clark","0000-0001-8994-5251",4
"http://data.globalchange.gov/person/4953","Alan","Robock","0000-0002-6319-5656",4
"http://data.globalchange.gov/person/3002","Yochanan","Kushnir","0000-0003-3312-5160",4
"http://data.globalchange.gov/person/8306","Martyn P.","Clark","0000-0002-2186-2625",4
"http://data.globalchange.gov/person/8525","Nicholas ","Ogden","0000-0002-1062-7283",4
"http://data.globalchange.gov/person/949","Thomas R.","Loveland","0000-0003-3114-6646",4
"http://data.globalchange.gov/person/5860","Baruch","Fischhoff","0000-0002-3030-6874",4
"http://data.globalchange.gov/person/1576","Joseph J.","Barsugli","0000-0002-3078-6396",4
"http://data.globalchange.gov/person/1055","James","Buizer","0000-0003-0265-8626",4
"http://data.globalchange.gov/person/2440","Feike A.","Dijkstra","0000-0002-6191-6018",4
"http://data.globalchange.gov/person/839","Daniel G.","Brown","0000-0001-6023-5950",4
"http://data.globalchange.gov/person/2828","Donald R.","Nelson","0000-0002-7878-2853",4
"http://data.globalchange.gov/person/2877","Lisa J.","Graumlich","0000-0003-1239-1873",4
"http://data.globalchange.gov/person/2858","James","Ford","0000-0002-2066-3456",4
"http://data.globalchange.gov/person/6202","Jean-François","Lamarque","0000-0002-4225-5074",4
"http://data.globalchange.gov/person/7148","Michael D.","Flannigan","0000-0002-9970-5363",4
"http://data.globalchange.gov/person/3894","Josep G.","Canadell","0000-0002-8788-3218",4
"http://data.globalchange.gov/person/5597","Nicolas","Gruber","0000-0002-2085-2310",4
"http://data.globalchange.gov/person/5582","Fortunat","Joos","0000-0002-9483-6030",4
"http://data.globalchange.gov/person/4192","N. LeRoy","Poff","0000-0002-1390-8742",4
"http://data.globalchange.gov/person/8961","Julian D.","Olden","0000-0003-2143-1187",4
"http://data.globalchange.gov/person/934","Patrick","Gonzalez","0000-0002-7105-0561",4
"http://data.globalchange.gov/person/8281","John W.","Nielsen-Gammon","0000-0001-5336-2409",4
"http://data.globalchange.gov/person/913","Edward","Maibach","0000-0003-3409-9187",4
"http://data.globalchange.gov/person/962","Denise J.","Reed","0000-0001-8600-3031",4
"http://data.globalchange.gov/person/2863","Ortwin","Renn","0000-0002-4681-1752",4
"http://data.globalchange.gov/person/863","Jayantha","Obeysekera","0000-0002-9261-1268",3
"http://data.globalchange.gov/person/1010","Guido","Franco","0000-0001-6213-7748",3
"http://data.globalchange.gov/person/2448","Tristam O.","West","0000-0001-7859-0125",3
"http://data.globalchange.gov/person/4468","Andrew D.","Richardson","0000-0002-0148-6714",3
"http://data.globalchange.gov/person/5187","Brigitte","Mueller","0000-0003-1876-4722",3
"http://data.globalchange.gov/person/5937","Matt","Rodell","0000-0003-0106-7437",3
"http://data.globalchange.gov/person/5674","Gregory","Asner","0000-0001-7893-6421",3
"http://data.globalchange.gov/person/5430","John T.","Fasullo","0000-0003-1216-892X",3
"http://data.globalchange.gov/person/5344","Timothy","Osborn","0000-0001-8425-6799",3
"http://data.globalchange.gov/person/1577","Klaus","Wolter","0000-0001-5002-5896",3
"http://data.globalchange.gov/person/2063","Robin","Leichenko","0000-0003-0607-5874",3
"http://data.globalchange.gov/person/9330","P. Lynn","Scarlett","0000-0003-3992-2566",3
"http://data.globalchange.gov/person/8716","Kevin D.","Lafferty","0000-0001-7583-4593",3
"http://data.globalchange.gov/person/1007","Paul","Fleming","0000-0002-1908-7180",3
"http://data.globalchange.gov/person/3683","Benjamin","Preston","0000-0002-7966-2386",3
"http://data.globalchange.gov/person/3705","Lesley","Jantarasami","0000-0003-4766-7331",3
"http://data.globalchange.gov/person/3791","Georgina","Mace","0000-0001-8965-5211",3
