"Chapter_Title","findingNumber","chapterNumber","figureOfChapter","Finding_Text","Finding_ID"
"Our Changing Climate","2.1",2,1,"Global climate is changing and this change is apparent across a wide range of observations. The global warming of the past 50 years is primarily due to human activities.","http://data.globalchange.gov/report/nca3/chapter/our-changing-climate/finding/global-climate-is-changing"
"Our Changing Climate","2.2",2,2,"Global climate is projected to continue to change over this century and beyond. The magnitude of climate change beyond the next few decades depends primarily on the amount of heat-trapping gases emitted globally, and how sensitive the Earth’s climate is to those emissions.","http://data.globalchange.gov/report/nca3/chapter/our-changing-climate/finding/global-climate-this-century"
"Our Changing Climate","2.3",2,3,"U.S. average temperature has increased by 1.3°F to 1.9°F since record keeping began in 1895; most of this increase has occurred since about 1970. The most recent decade was the nation’s warmest on record. Temperatures in the United States are expected to continue to rise. Because human-induced warming is superimposed on a naturally varying climate, the temperature rise has not been, and will not be, uniform or smooth across the country or over time.","http://data.globalchange.gov/report/nca3/chapter/our-changing-climate/finding/us-temperature-increased"
"Our Changing Climate","2.4",2,4,"The length of the frost-free season (and the corresponding growing season) has been increasing nationally since the 1980s, with the largest increases occurring in the western United States, affecting ecosystems and agriculture. Across the United States, the growing season is projected to continue to lengthen.","http://data.globalchange.gov/report/nca3/chapter/our-changing-climate/finding/frost-free-season-length-increasing"
"Our Changing Climate","2.5",2,5,"Average U.S. precipitation has increased since 1900, but some areas have had increases greater than the national average, and some areas have had decreases. More winter and spring precipitation is projected for the northern United States, and less for the Southwest, over this century.","http://data.globalchange.gov/report/nca3/chapter/our-changing-climate/finding/precipitation-average-increase"
"Our Changing Climate","2.6",2,6,"Heavy downpours are increasing nationally, especially over the last three to five decades. Largest increases are in the Midwest and Northeast. Increases in the frequency and intensity of extreme precipitation events are projected for all U.S. regions.","http://data.globalchange.gov/report/nca3/chapter/our-changing-climate/finding/extreme-precipitation-increase"
"Our Changing Climate","2.7",2,7,"There have been changes in some types of extreme weather events over the last several decades. Heat waves have become more frequent and intense, especially in the West. Cold waves have become less frequent and intense across the nation. There have been regional trends in floods and droughts. Droughts in the Southwest and heat waves everywhere are projected to become more intense, and cold waves less intense everywhere.","http://data.globalchange.gov/report/nca3/chapter/our-changing-climate/finding/extreme-weather-increase"
"Our Changing Climate","2.8",2,8,"The intensity, frequency, and duration of North Atlantic hurricanes, as well as the frequency of the strongest (Category 4 and 5) hurricanes, have all increased since the early 1980s. The relative contributions of human and natural causes to these increases are still uncertain. Hurricane-associated storm intensity and rainfall rates are projected to increase as the climate continues to warm.","http://data.globalchange.gov/report/nca3/chapter/our-changing-climate/finding/hurricane-storm-intensity-increases"
"Our Changing Climate","2.9",2,9,"Winter storms have increased in frequency and intensity since the 1950s, and their tracks have shifted northward over the United States. Other trends in severe storms, including the intensity and frequency of tornadoes, hail, and damaging thunderstorm winds, are uncertain and are being studied intensively.","http://data.globalchange.gov/report/nca3/chapter/our-changing-climate/finding/winter-and-severe-storms"
"Our Changing Climate","2.10",2,10,"Global sea level has risen by about 8 inches since reliable record keeping began in 1880. It is projected to rise another 1 to 4 feet by 2100.","http://data.globalchange.gov/report/nca3/chapter/our-changing-climate/finding/global-sea-level-rise"
