 "ContributorID" , "name" , "chapter" , "ChapterRole" , "article" , "ArticleRole" ,
 "http://data.globalchange.gov/person/1003" , "Izaurralde, R. Cesar" , "http://data.globalchange.gov/report/nca3/chapter/agriculture" , "Lead Author" , "http://data.globalchange.gov/article/10.2134/agronj2010.0303" , "Author" ,
 "http://data.globalchange.gov/person/1003" , "Izaurralde, R. Cesar" , "http://data.globalchange.gov/report/nca3/chapter/agriculture" , "Lead Author" , "http://data.globalchange.gov/article/10.2134/agronj2010.0304" , "Author" ,
 "http://data.globalchange.gov/person/1003" , "Izaurralde, R. Cesar" , "http://data.globalchange.gov/report/nca3/chapter/agriculture" , "Lead Author" , "http://data.globalchange.gov/report/ccsp-sap-4_3-2008" , "Contributing Author" ,
 "http://data.globalchange.gov/person/1005" , "Mader, Terry" , "http://data.globalchange.gov/report/nca3/chapter/agriculture" , "Lead Author" , "http://data.globalchange.gov/report/ccsp-sap-4_3-2008" , "Contributing Author" ,
 "http://data.globalchange.gov/person/1006" , "Georgakakos, Aris" , "http://data.globalchange.gov/report/nca3/chapter/water-resources" , "Convening Lead Author" , "http://data.globalchange.gov/report/gwri-climvar-2010" , "Author" ,
 "http://data.globalchange.gov/person/1008" , "Wuebbles, Donald" , "http://data.globalchange.gov/report/nca3/chapter/appendix-faqs" , "Convening Lead Author" , "http://data.globalchange.gov/report/noaa-techreport-nesdis-142-9" , "Author" ,
 "http://data.globalchange.gov/person/1014" , "White, Kathleen" , "http://data.globalchange.gov/report/nca3/chapter/water-resources" , "Lead Author" , "http://data.globalchange.gov/report/usace-cwts-10-02" , "Contributing Author" ,
 "http://data.globalchange.gov/person/1014" , "White, Kathleen" , "http://data.globalchange.gov/report/nca3/chapter/water-resources" , "Lead Author" , "http://data.globalchange.gov/report/usgs-circular-1331" , "Author" ,
 "http://data.globalchange.gov/person/1016" , "Dettinger, Michael" , "http://data.globalchange.gov/report/nca3/chapter/water-resources" , "Lead Author" , "http://data.globalchange.gov/article/10.1111/j.1752-1688.2011.00546.x" , "Author" ,
 "http://data.globalchange.gov/person/1024" , "Hayhoe, Katharine" , "http://data.globalchange.gov/report/nca3/chapter/appendix-faqs" , "Lead Author" , "http://data.globalchange.gov/report/ucusa-howtoavoid-2007" , "Author" ,
 "http://data.globalchange.gov/person/1025" , "Kunkel, Kenneth" , "http://data.globalchange.gov/report/nca3/chapter/appendix-climate-science-supplement" , "Lead Author" , "http://data.globalchange.gov/article/10.1175/JCLI3848.1" , "Author" ,
 "http://data.globalchange.gov/person/1025" , "Kunkel, Kenneth" , "http://data.globalchange.gov/report/nca3/chapter/appendix-faqs" , "Lead Author" , "http://data.globalchange.gov/report/noaa-techreport-nesdis-142-9" , "Author" ,
 "http://data.globalchange.gov/person/1039" , "Melillo, Jerry" , "http://data.globalchange.gov/report/nca3/chapter/research-agenda" , "Lead Author" , "http://data.globalchange.gov/report/nca2" , "Editor" ,
 "http://data.globalchange.gov/person/1042" , "Gustafson, David I" , "http://data.globalchange.gov/report/nca3/chapter/sustained-assessment" , "Lead Author" , "http://data.globalchange.gov/report/usgcrp-ncadac-nca-sasrwgreport-2013" , "Author" ,
 "http://data.globalchange.gov/person/1052" , "Jacoby, Henry D." , "http://data.globalchange.gov/report/nca3/chapter/mitigation" , "Convening Lead Author" , "http://data.globalchange.gov/report/ccsp-sap-2_1a-2007" , "Author" ,
 "http://data.globalchange.gov/person/1054" , "Birdsey, Richard" , "http://data.globalchange.gov/report/nca3/chapter/mitigation" , "Lead Author" , "http://data.globalchange.gov/article/10.1029/2010JG001471" , "Author" ,
 "http://data.globalchange.gov/person/1054" , "Birdsey, Richard" , "http://data.globalchange.gov/report/nca3/chapter/mitigation" , "Lead Author" , "http://data.globalchange.gov/article/10.2134/jeq2005.0162" , "Author" ,
 "http://data.globalchange.gov/person/1055" , "Buizer, James" , "http://data.globalchange.gov/report/nca3/chapter/sustained-assessment" , "Lead Author" , "http://data.globalchange.gov/report/usgcrp-ncadac-nca-sasrwgreport-2013" , "Author" ,
 "http://data.globalchange.gov/person/1060" , "Edmonds, Jae" , "http://data.globalchange.gov/report/nca3/chapter/mitigation" , "Contributing Author" , "http://data.globalchange.gov/article/10.1016/j.eneco.2009.10.013" , "Author" ,
 "http://data.globalchange.gov/person/1060" , "Edmonds, Jae" , "http://data.globalchange.gov/report/nca3/chapter/mitigation" , "Contributing Author" , "http://data.globalchange.gov/report/ccsp-sap-2_1a-2007" , "Author" ,
