"s","lauchDate","deactivated"
"http://data.globalchange.gov/platform/topex-poseidon",1992-08-10 00:00:00,2006-01-18 00:00:00
"http://data.globalchange.gov/platform/constellation-of-small-satellites-for-mediterranean-basin-observation-1",2007-06-08 00:00:00,2015-06-01 00:00:00
"http://data.globalchange.gov/platform/constellation-of-small-satellites-for-mediterranean-basin-observation-2",2007-12-09 00:00:00,2015-12-01 00:00:00
"http://data.globalchange.gov/platform/korea-multi-purpose-satellite-2",2006-07-27 00:00:00,2015-07-01 00:00:00
"http://data.globalchange.gov/platform/korea-multi-purpose-satellite-3",2012-05-18 00:00:00,2016-05-01 00:00:00
"http://data.globalchange.gov/platform/soil-moisture-and-ocean-salinity-earth-explorer-opportunity-mission",2009-11-02 00:00:00,2017-02-01 00:00:00
"http://data.globalchange.gov/platform/jason-2",2008-06-20 00:00:00,2017-10-01 00:00:00
"http://data.globalchange.gov/platform/pleiades-1b",2012-12-02 00:00:00,2017-12-01 00:00:00
"http://data.globalchange.gov/platform/satellite-pour-lobservation-de-la-terre-3",1993-09-25 00:00:00,1996-11-14 00:00:00
"http://data.globalchange.gov/platform/rsted-oersted",1999-11-21 00:00:00,2015-12-01 00:00:00
"http://data.globalchange.gov/platform/picard",2010-06-15 00:00:00,2014-04-04 00:00:00
"http://data.globalchange.gov/platform/advanced-earth-observing-satellite",1996-08-17 00:00:00,1997-06-30 00:00:00
"http://data.globalchange.gov/platform/megha-tropiques",2011-10-12 00:00:00,2015-01-01 00:00:00
"http://data.globalchange.gov/platform/mapping-satellites",2012-01-09 00:00:00,2017-06-01 00:00:00
"http://data.globalchange.gov/platform/fy-1b-polar-orbiting-meteorological-satellite",1990-01-01 00:00:00,1991-01-01 00:00:00
"http://data.globalchange.gov/platform/resource-satellite-f-series-number-2",1993-01-01 00:00:00,1996-01-01 00:00:00
"http://data.globalchange.gov/platform/ocean-color-satellite-a",2002-05-01 00:00:00,2004-01-01 00:00:00
"http://data.globalchange.gov/platform/sac-c",2000-11-21 00:00:00,2013-08-13 00:00:00
"http://data.globalchange.gov/platform/meteosat-4",1989-01-01 00:00:00,1995-01-01 00:00:00
"http://data.globalchange.gov/platform/meteosat-7",1997-09-02 00:00:00,2016-12-01 00:00:00
"http://data.globalchange.gov/platform/meteosat-second-generation-2",2005-12-22 00:00:00,2021-12-01 00:00:00
"http://data.globalchange.gov/platform/cryosat-earth-explorer-opportunity-mission",2005-10-08 00:00:00,2005-10-08 00:00:00
"http://data.globalchange.gov/platform/european-remote-sensing-satellite-1",1991-07-17 00:00:00,2000-03-07 00:00:00
"http://data.globalchange.gov/platform/european-remote-sensing-satellite-2",1995-04-21 00:00:00,2011-07-04 00:00:00
"http://data.globalchange.gov/platform/gravity-field-and-steady-state-ocean-circulation-explorer",2009-03-17 00:00:00,2013-10-21 00:00:00
"http://data.globalchange.gov/platform/terrasar-x-add-on-for-digital-elevation-measurements",2010-06-21 00:00:00,2015-12-01 00:00:00
"http://data.globalchange.gov/platform/challenging-mini-satellite-payload-for-geophysical-research-and-application",2000-07-15 00:00:00,2010-09-19 00:00:00
"http://data.globalchange.gov/platform/rapideye",2008-08-29 00:00:00,2019-08-01 00:00:00
"http://data.globalchange.gov/platform/terrasar-x",2007-06-15 00:00:00,2015-12-01 00:00:00
"http://data.globalchange.gov/platform/bi-spectral-infrared-detection",2001-10-22 00:00:00,2005-12-31 00:00:00
"http://data.globalchange.gov/platform/resource-satellite-2",2011-04-20 00:00:00,2016-04-01 00:00:00
"http://data.globalchange.gov/platform/technology-experimental-satellite-on-cartography",2001-10-22 00:00:00,2012-05-31 00:00:00
"http://data.globalchange.gov/platform/indian-mini-satellite-1",2008-04-28 00:00:00,2013-12-28 00:00:00
"http://data.globalchange.gov/platform/indian-national-satellite-1b",1982-07-10 00:00:00,1989-07-10 00:00:00
"http://data.globalchange.gov/platform/indian-national-satellite-1c",1984-07-10 00:00:00,1989-07-10 00:00:00
"http://data.globalchange.gov/platform/indian-national-satellite-1d",1986-07-10 00:00:00,1989-07-10 00:00:00
"http://data.globalchange.gov/platform/indian-national-satellite-2a",1992-07-10 00:00:00,1999-07-10 00:00:00
"http://data.globalchange.gov/platform/indian-national-satellite-2b",1993-03-27 00:00:00,2000-03-27 00:00:00
"http://data.globalchange.gov/platform/indian-national-satellite-2c",1995-07-12 00:00:00,2002-01-01 00:00:00
"http://data.globalchange.gov/platform/indian-national-satellite-2d",1997-06-04 00:00:00,2003-01-01 00:00:00
"http://data.globalchange.gov/platform/indian-national-satellite-2e",1999-04-03 00:00:00,2011-05-04 00:00:00
"http://data.globalchange.gov/platform/indian-national-satellite-3a",2003-04-04 00:00:00,2015-11-01 00:00:00
"http://data.globalchange.gov/platform/indian-national-satellite-3d",2013-07-26 00:00:00,2020-07-01 00:00:00
"http://data.globalchange.gov/platform/indian-remote-sensing-satellite-1a",1988-03-17 00:00:00,1994-01-01 00:00:00
"http://data.globalchange.gov/platform/indian-remote-sensing-satellite-1b",1991-08-29 00:00:00,2002-08-31 00:00:00
"http://data.globalchange.gov/platform/indian-remote-sensing-satellite-p3",1996-03-21 00:00:00,2003-12-31 00:00:00
"http://data.globalchange.gov/platform/meteorological-satellite",2002-09-12 00:00:00,2016-12-01 00:00:00
"http://data.globalchange.gov/platform/tropical-rainfall-measuring-mission",1997-11-27 00:00:00,2016-02-01 00:00:00
"http://data.globalchange.gov/platform/marine-observation-satellite",1990-02-07 00:00:00,1996-04-17 00:00:00
"http://data.globalchange.gov/platform/multi-functional-transport-satellite",1999-11-15 00:00:00,1999-11-15 00:00:00
"http://data.globalchange.gov/platform/upper-atmosphere-research-satellite",1991-09-15 00:00:00,2005-12-14 00:00:00
"http://data.globalchange.gov/platform/suomi-national-polar-orbiting-partnership",2011-10-28 00:00:00,2017-03-01 00:00:00
"http://data.globalchange.gov/platform/total-solar-irradiance-tsi-calibration-transfer",2013-11-19 00:00:00,2014-12-01 00:00:00
"http://data.globalchange.gov/platform/new-millenium-program-earth-observing-1",2000-11-23 00:00:00,2015-09-01 00:00:00
