"dataset","instrument_instance"
"http://data.globalchange.gov/dataset/nasa-podaac-ccmp_measures_atlas_l4_ow_l3_5a_monthly_wind_vectors_flk","http://data.globalchange.gov/platform/aqua/instrument/advanced-microwave-scanning-radiometer-eos"
"http://data.globalchange.gov/dataset/nasa-podaac-eur-l2p-amsre","http://data.globalchange.gov/platform/aqua/instrument/advanced-microwave-scanning-radiometer-eos"
"http://data.globalchange.gov/dataset/nasa-podaac-eur-l4hrfnd-glob-odyssea","http://data.globalchange.gov/platform/aqua/instrument/advanced-microwave-scanning-radiometer-eos"
"http://data.globalchange.gov/dataset/nasa-podaac-eur-l4uhrfnd-nwe-odyssea","http://data.globalchange.gov/platform/aqua/instrument/advanced-microwave-scanning-radiometer-eos"
"http://data.globalchange.gov/dataset/nasa-podaac-ncdc-l4lrblend-glob-avhrr_amsr_oi","http://data.globalchange.gov/platform/aqua/instrument/advanced-microwave-scanning-radiometer-eos"
"http://data.globalchange.gov/dataset/nasa-podaac-remss-l2p_gridded_25-amsre","http://data.globalchange.gov/platform/aqua/instrument/advanced-microwave-scanning-radiometer-eos"
"http://data.globalchange.gov/dataset/nasa-podaac-remss-l4hrfnd-glob-mw_ir_oi","http://data.globalchange.gov/platform/aqua/instrument/advanced-microwave-scanning-radiometer-eos"
"http://data.globalchange.gov/dataset/nasa-nsidcdaac-ae_moocn","http://data.globalchange.gov/platform/aqua/instrument/advanced-microwave-scanning-radiometer-eos"
"http://data.globalchange.gov/dataset/nasa-nsidcdaac-ae_si6","http://data.globalchange.gov/platform/aqua/instrument/advanced-microwave-scanning-radiometer-eos"
"http://data.globalchange.gov/dataset/nasa-nsidcdaac-0555","http://data.globalchange.gov/platform/aqua/instrument/advanced-microwave-scanning-radiometer-eos"
"http://data.globalchange.gov/dataset/nasa-nsidcdaac-ae_si25","http://data.globalchange.gov/platform/aqua/instrument/advanced-microwave-scanning-radiometer-eos"
"http://data.globalchange.gov/dataset/nasa-nsidcdaac-ae_wkocn","http://data.globalchange.gov/platform/aqua/instrument/advanced-microwave-scanning-radiometer-eos"
"http://data.globalchange.gov/dataset/nasa-nsidcdaac-ae_rain","http://data.globalchange.gov/platform/aqua/instrument/advanced-microwave-scanning-radiometer-eos"
"http://data.globalchange.gov/dataset/nasa-nsidcdaac-0450","http://data.globalchange.gov/platform/aqua/instrument/advanced-microwave-scanning-radiometer-eos"
"http://data.globalchange.gov/dataset/nsidc-0589","http://data.globalchange.gov/platform/aqua/instrument/advanced-microwave-scanning-radiometer-eos"
"http://data.globalchange.gov/dataset/nasa-nsidcdaac-0477","http://data.globalchange.gov/platform/aqua/instrument/advanced-microwave-scanning-radiometer-eos"
"http://data.globalchange.gov/dataset/nasa-nsidcdaac-0611","http://data.globalchange.gov/platform/aqua/instrument/advanced-microwave-scanning-radiometer-eos"
